[1,     4] loss: 0.9569001049
[156,     4] loss: 0.0308265481
[157,     4] loss: 0.0284333699
[158,     4] loss: 0.0307960217
[159,     4] loss: 0.0355857499
[160,     4] loss: 0.0307997717
[161,     4] loss: 0.0356010555
[162,     4] loss: 0.0331664886
[163,     4] loss: 0.0380957471
[164,     4] loss: 0.0357638882
[165,     4] loss: 0.0307399011
[166,     4] loss: 0.0334942318
[167,     4] loss: 0.0312123252
[168,     4] loss: 0.0332972738
[169,     4] loss: 0.0308553488
[170,     4] loss: 0.0333871017
[171,     4] loss: 0.0355544621
[172,     4] loss: 0.0283772900
[173,     4] loss: 0.0380019424
[174,     4] loss: 0.0331780380
[175,     4] loss: 0.0331036691
[176,     4] loss: 0.0379602751
[177,     4] loss: 0.0355539406
[178,     4] loss: 0.0282913487
[179,     4] loss: 0.0307049761
[180,     4] loss: 0.0379499381
[181,     4] loss: 0.0331237768
[182,     4] loss: 0.0355102147
[183,     4] loss: 0.0331228701
[184,     4] loss: 0.0331209404
[185,     4] loss: 0.0355047686
[186,     4] loss: 0.0330760246
[187,     4] loss: 0.0355114467
[188,     4] loss: 0.0402979050
[189,     4] loss: 0.0282863525
[190,     4] loss: 0.0354713458
[191,     4] loss: 0.0330623924
[192,     4] loss: 0.0330902757
[193,     4] loss: 0.0330467026
[194,     4] loss: 0.0306726121
[195,     4] loss: 0.0355374310
[196,     4] loss: 0.0306587489
[197,     4] loss: 0.0330864537
[198,     4] loss: 0.0330272238
[199,     4] loss: 0.0354899354
[200,     4] loss: 0.0330986110
torch.Size([500, 132])
tensor([[9.9944e-01, 5.6085e-04, 1.0000e+00, 0.0000e+00],
        [1.3281e-02, 9.8672e-01, 0.0000e+00, 1.0000e+00],
        [1.1089e-09, 1.0000e+00, 0.0000e+00, 1.0000e+00],
        ...,
        [9.9906e-01, 9.3818e-04, 1.0000e+00, 0.0000e+00],
        [9.8775e-01, 1.2250e-02, 1.0000e+00, 0.0000e+00],
        [6.6478e-30, 1.0000e+00, 0.0000e+00, 1.0000e+00]])
torch.Size([1, 132])
1.0
torch.Size([1, 132])
0.0
torch.Size([1, 132])
0.0
0.6511156186612576
0.6511156186612576
